"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET valid - As admin I have be able to get detail user","SUCCESS","2023-04-19T00:34:58.8681681+07:00[Asia/Jakarta]","0.0","7.53"
"User","GET invalid - As admin I not have be able to get detail user","SUCCESS","2023-04-19T00:35:06.4368615+07:00[Asia/Jakarta]","0.0","0.86"
"User","POST valid - As admin I have be able to create new user","SUCCESS","2023-04-19T00:35:07.3197024+07:00[Asia/Jakarta]","0.0","0.9"
"User","POST invalid - As admin I not have be able to create new user","SUCCESS","2023-04-19T00:35:08.2447074+07:00[Asia/Jakarta]","0.0","0.91"
"User","GET valid - As admin I have be able to get user by ID","SUCCESS","2023-04-19T00:35:09.1674461+07:00[Asia/Jakarta]","0.0","0.35"
"User","GET invalid - As admin I not have be able to get user by ID","SUCCESS","2023-04-19T00:35:09.5308044+07:00[Asia/Jakarta]","0.0","0.88"
"User","PUT valid - As admin I have be able to update existing user","SUCCESS","2023-04-19T00:35:10.4319132+07:00[Asia/Jakarta]","0.0","0.73"
"User","PUT invalid - As admin I not have be able to update existing user","SUCCESS","2023-04-19T00:35:11.1826924+07:00[Asia/Jakarta]","0.0","0.96"
"User","DELETE valid - As admin I have be able to delete existing user","SUCCESS","2023-04-19T00:35:12.1486472+07:00[Asia/Jakarta]","0.0","0.73"
"User","DELETE invalid - As admin I not have be able to delete existing user","SUCCESS","2023-04-19T00:35:12.8900716+07:00[Asia/Jakarta]","0.0","0.94"
